a,method,draw,edge,kind,true_di,est_di,lcb,certified
0.0,Correlation,16,1->0,true_direct,0.0,0.00010923588586527082,1.3887323966418912e-06,0
0.0,Correlation,16,2->1,true_direct,0.0,0.00041571499924177236,2.2980691017728393e-05,0
0.0,Correlation,16,0->1,null,0.0,0.00010923588586527082,7.295764014964249e-07,0
0.0,Correlation,16,0->2,null,0.0,0.00011245403335888676,6.461827708395836e-06,0
0.0,Correlation,16,1->2,null,0.0,0.0002688122397255719,1.4755483655196377e-06,0
0.0,Correlation,16,2->0,null,0.0,1.0428056374770743e-05,3.7332599383315325e-07,0
0.0,Correlation,17,1->0,true_direct,0.0,0.00044304103709492655,6.208323140677866e-07,0
0.0,Correlation,17,2->1,true_direct,0.0,0.0009088819343500234,1.2737139523719345e-06,0
0.0,Correlation,17,0->1,null,0.0,0.00044304103709492655,2.8455934794994395e-06,0
0.0,Correlation,17,0->2,null,0.0,0.00041400953903483826,5.059221137334545e-06,0
0.0,Correlation,17,1->2,null,0.0,0.0009267804386058897,5.361480206585578e-05,0
0.0,Correlation,17,2->0,null,0.0,2.729246662922617e-05,2.1190927703944205e-06,0
0.0,Correlation,18,1->0,true_direct,0.0,0.0012024301730710761,7.038195498572908e-06,0
0.0,Correlation,18,2->1,true_direct,0.0,0.0020468886806306783,0.0005464815017185387,0
0.0,Correlation,18,0->1,null,0.0,0.0012472213025283795,0.0002713450774310018,0
0.0,Correlation,18,0->2,null,0.0,0.00014797975909431335,1.1061082081498738e-06,0
0.0,Correlation,18,1->2,null,0.0,0.0011584800063514206,4.238452657022504e-05,0
0.0,Correlation,18,2->0,null,0.0,0.00021311077903737053,7.353538946176345e-07,0
0.0,Correlation,19,1->0,true_direct,0.0,0.0009390149424055022,6.969668770708715e-05,0
0.0,Correlation,19,2->1,true_direct,0.0,0.0005732066297883182,6.603396889480435e-07,0
0.0,Correlation,19,0->1,null,0.0,0.0005317232211839532,3.0199293816192845e-05,0
0.0,Correlation,19,0->2,null,0.0,3.6992884918753e-05,3.1097609398719744e-06,0
0.0,Correlation,19,1->2,null,0.0,0.0016759747639432281,0.0004487682825143659,0
0.0,Correlation,19,2->0,null,0.0,5.343274134689644e-05,7.838706801268176e-07,0
0.0,Correlation,20,1->0,true_direct,0.0,0.0005447507165048598,8.301985508684225e-06,0
0.0,Correlation,20,2->1,true_direct,0.0,0.00019338725659613138,3.8050072433591323e-07,0
0.0,Correlation,20,0->1,null,0.0,0.00027351702386893035,3.4546763049049846e-06,0
0.0,Correlation,20,0->2,null,0.0,0.00028101653601929555,1.1123955225673007e-05,0
0.0,Correlation,20,1->2,null,0.0,0.0006515351643625193,5.447812122346118e-06,0
0.0,Correlation,20,2->0,null,0.0,0.00028101653601929555,3.420342929296007e-06,0
0.0,Correlation,21,1->0,true_direct,0.0,0.0010920941417636326,6.450478502756105e-05,0
0.0,Correlation,21,2->1,true_direct,0.0,0.00038753282774099456,1.9046197265411341e-06,0
0.0,Correlation,21,0->1,null,0.0,7.996228254406356e-05,7.921735337476172e-07,0
0.0,Correlation,21,0->2,null,0.0,0.0008271463370301509,3.468894233328803e-05,0
0.0,Correlation,21,1->2,null,0.0,0.00038753282774099456,1.113801157889719e-05,0
0.0,Correlation,21,2->0,null,0.0,1.4764409109010418e-05,1.330761637409024e-06,0
0.0,Correlation,22,1->0,true_direct,0.0,0.0002537524364966671,1.879892921038273e-06,0
0.0,Correlation,22,2->1,true_direct,0.0,0.0007698467884704034,5.4341103778495936e-05,0
0.0,Correlation,22,0->1,null,0.0,0.000727874200867163,3.314976479596899e-05,0
0.0,Correlation,22,0->2,null,0.0,0.00010124069331738422,9.327859786980037e-07,0
0.0,Correlation,22,1->2,null,0.0,0.0006822570538293283,3.2921679908948036e-05,0
0.0,Correlation,22,2->0,null,0.0,0.0002084192896015626,2.6179931465661074e-06,0
0.0,Correlation,23,1->0,true_direct,0.0,0.0010220822360151793,1.0737403663343415e-05,0
0.0,Correlation,23,2->1,true_direct,0.0,0.00014464690327449755,2.67675288189804e-06,0
0.0,Correlation,23,0->1,null,0.0,0.0010220822360151793,6.404360537550526e-07,0
0.0,Correlation,23,0->2,null,0.0,0.00013052322756048961,9.213146401219703e-07,0
0.0,Correlation,23,1->2,null,0.0,0.00014464690327449755,1.3948034154897299e-06,0
0.0,Correlation,23,2->0,null,0.0,0.00010871184706571862,9.106000309078074e-07,0
0.0,Correlation,24,1->0,true_direct,0.0,0.0006011634144038784,7.539807226272989e-06,0
0.0,Correlation,24,2->1,true_direct,0.0,0.000437983703799582,3.6699339628500894e-06,0
0.0,Correlation,24,0->1,null,0.0,1.696580846844268e-05,1.050299484540506e-06,0
0.0,Correlation,24,0->2,null,0.0,0.0004277112943774054,1.403168611099394e-06,0
0.0,Correlation,24,1->2,null,0.0,0.000437983703799582,9.95516403388202e-06,0
0.0,Correlation,24,2->0,null,0.0,0.0004890493365301212,9.88853585220969e-06,0
0.0,Correlation,25,1->0,true_direct,0.0,0.00016434960596997564,3.54342436491187e-06,0
0.0,Correlation,25,2->1,true_direct,0.0,0.001155632959407248,0.00016744603045755482,0
0.0,Correlation,25,0->1,null,0.0,0.0004096301984201516,2.29262500908176e-06,0
0.0,Correlation,25,0->2,null,0.0,0.00016765015011909625,7.161951109762499e-07,0
0.0,Correlation,25,1->2,null,0.0,0.000723454805931091,2.0112373705328862e-05,0
0.0,Correlation,25,2->0,null,0.0,0.00016765015011909625,3.3264627180849367e-07,0
0.0,Correlation,26,1->0,true_direct,0.0,0.00010901694353487618,1.1713062392727497e-06,0
0.0,Correlation,26,2->1,true_direct,0.0,0.0009309130133941716,1.064902318860739e-06,0
0.0,Correlation,26,0->1,null,0.0,0.0002833521939702454,4.446488371964126e-06,0
0.0,Correlation,26,0->2,null,0.0,7.825618015997387e-05,1.2665598075298232e-06,0
0.0,Correlation,26,1->2,null,0.0,0.0009309130133941716,1.6840173243582168e-06,0
0.0,Correlation,26,2->0,null,0.0,7.825618015997387e-05,2.2025013538334857e-07,0
0.0,Correlation,27,1->0,true_direct,0.0,0.00014293565888021014,2.2526729543455212e-06,0
0.0,Correlation,27,2->1,true_direct,0.0,1.3327565742695087e-05,4.255976591008623e-07,0
0.0,Correlation,27,0->1,null,0.0,8.398620980432426e-05,1.976133707269444e-06,0
0.0,Correlation,27,0->2,null,0.0,0.0002967080457579054,2.446195324359468e-06,0
0.0,Correlation,27,1->2,null,0.0,5.389569080665948e-05,4.574200141285934e-07,0
0.0,Correlation,27,2->0,null,0.0,0.0008390020254601191,2.2016309525214464e-05,0
0.0,Correlation,28,1->0,true_direct,0.0,2.014087807182735e-05,1.8519881075494037e-06,0
0.0,Correlation,28,2->1,true_direct,0.0,0.00038777732478143185,1.9630297375163016e-06,0
0.0,Correlation,28,0->1,null,0.0,0.0001895301863362847,1.879832498330608e-06,0
0.0,Correlation,28,0->2,null,0.0,0.0007688160174158142,3.4249671820478084e-05,0
0.0,Correlation,28,1->2,null,0.0,0.00018965651928902933,1.5205335182294336e-06,0
0.0,Correlation,28,2->0,null,0.0,5.456601157524575e-05,1.0550596785998733e-06,0
0.0,Correlation,29,1->0,true_direct,0.0,0.0003317505654749015,3.1171592242894607e-06,0
0.0,Correlation,29,2->1,true_direct,0.0,0.00013421779294044747,9.041986396984834e-07,0
0.0,Correlation,29,0->1,null,0.0,0.0003317505654749015,3.04524850332065e-06,0
0.0,Correlation,29,0->2,null,0.0,5.178960308374831e-05,4.5703373766838344e-07,0
0.0,Correlation,29,1->2,null,0.0,0.00013421779294044747,2.0120643308177156e-06,0
0.0,Correlation,29,2->0,null,0.0,5.178960308374831e-05,2.4380848992392842e-06,0
0.0,PairwiseTE,0,1->0,true_direct,0.0,0.0002476162887880146,2.6284150391519667e-06,0
0.0,PairwiseTE,0,2->1,true_direct,0.0,0.00011713667311684278,2.0271596719716147e-06,0
0.0,PairwiseTE,0,0->1,null,0.0,1.1773023499850876e-05,2.2071282060957025e-06,0
0.0,PairwiseTE,0,0->2,null,0.0,0.0010420678255911068,5.468590274449637e-05,0
0.0,PairwiseTE,0,1->2,null,0.0,2.5742859209279515e-06,4.306992894331292e-07,0
0.0,PairwiseTE,0,2->0,null,0.0,7.360396254356791e-05,4.324900348648332e-07,0
0.0,PairwiseTE,1,1->0,true_direct,0.0,9.320626763906607e-06,1.9035865627160186e-06,0
0.0,PairwiseTE,1,2->1,true_direct,0.0,0.0008084891272359893,7.04702403494972e-05,0
0.0,PairwiseTE,1,0->1,null,0.0,0.00017767504508423392,4.0955064124131284e-06,0
0.0,PairwiseTE,1,0->2,null,0.0,1.721468203444681e-05,9.84171002101952e-07,0
0.0,PairwiseTE,1,1->2,null,0.0,0.00017233719548461347,3.295944167078601e-06,0
0.0,PairwiseTE,1,2->0,null,0.0,5.58469099522216e-06,5.017861897286851e-07,0
0.0,PairwiseTE,2,1->0,true_direct,0.0,3.95904053711061e-05,2.4363051609882502e-06,0
0.0,PairwiseTE,2,2->1,true_direct,0.0,0.0007752287883849996,3.725407207331195e-05,0
0.0,PairwiseTE,2,0->1,null,0.0,0.00012366161798853996,1.7428553530603168e-06,0
0.0,PairwiseTE,2,0->2,null,0.0,0.0005073134521821299,1.2215374490459275e-05,0
0.0,PairwiseTE,2,1->2,null,0.0,0.00023499966703308125,3.1528009086881474e-06,0
0.0,PairwiseTE,2,2->0,null,0.0,0.00013172629664056571,1.5313648753725323e-06,0
0.0,PairwiseTE,3,1->0,true_direct,0.0,0.00012956713097419064,3.7965264948314337e-06,0
0.0,PairwiseTE,3,2->1,true_direct,0.0,2.894770018588436e-05,3.578866618014825e-07,0
0.0,PairwiseTE,3,0->1,null,0.0,0.00032456565163435565,1.1994923125981677e-05,0
0.0,PairwiseTE,3,0->2,null,0.0,0.00022980411296748694,3.0918385194839627e-06,0
0.0,PairwiseTE,3,1->2,null,0.0,7.283675855003316e-06,4.082585080011856e-07,0
0.0,PairwiseTE,3,2->0,null,0.0,1.557105428410891e-05,3.256681903366505e-06,0
0.0,PairwiseTE,4,1->0,true_direct,0.0,0.0009197122201535832,0.0001837678461890246,0
0.0,PairwiseTE,4,2->1,true_direct,0.0,8.01679075575375e-05,1.9157543495682505e-06,0
0.0,PairwiseTE,4,0->1,null,0.0,0.0005547531932574569,1.6576218504472933e-05,0
0.0,PairwiseTE,4,0->2,null,0.0,0.00014527134346899322,2.3814489932963734e-06,0
0.0,PairwiseTE,4,1->2,null,0.0,5.1539657179561653e-05,6.086725395984923e-07,0
0.0,PairwiseTE,4,2->0,null,0.0,4.824687335593075e-06,3.4431936111408577e-07,0
0.0,PairwiseTE,5,1->0,true_direct,0.0,1.45820178960582e-05,5.150651776450017e-06,0
0.0,PairwiseTE,5,2->1,true_direct,0.0,6.113089184360215e-10,3.5762048297047185e-06,0
0.0,PairwiseTE,5,0->1,null,0.0,0.00012155213017896894,7.9565867821888e-06,0
0.0,PairwiseTE,5,0->2,null,0.0,0.0007849909117918246,0.00024109770904213228,0
0.0,PairwiseTE,5,1->2,null,0.0,1.7473147128636013e-05,1.7962408305265965e-06,0
0.0,PairwiseTE,5,2->0,null,0.0,3.5402006811370387e-06,6.985477115396969e-07,0
0.0,PairwiseTE,6,1->0,true_direct,0.0,0.00033352370678617945,1.0785841282769395e-05,0
0.0,PairwiseTE,6,2->1,true_direct,0.0,0.00010124881723502906,5.450189811617592e-07,0
0.0,PairwiseTE,6,0->1,null,0.0,3.821725369535484e-05,1.583727993475716e-06,0
0.0,PairwiseTE,6,0->2,null,0.0,0.0006403789367732308,1.5718444258001776e-05,0
0.0,PairwiseTE,6,1->2,null,0.0,0.000207523119289142,1.1188785627258512e-05,0
0.0,PairwiseTE,6,2->0,null,0.0,0.00010846380549540639,3.2121970344826173e-06,0
0.0,PairwiseTE,7,1->0,true_direct,0.0,9.224444402008002e-10,1.267982435310749e-06,0
0.0,PairwiseTE,7,2->1,true_direct,0.0,8.1117564234917e-07,8.188632950789684e-07,0
0.0,PairwiseTE,7,0->1,null,0.0,0.0005440865842567025,1.4651575930351654e-05,0
0.0,PairwiseTE,7,0->2,null,0.0,3.9093047667648925e-06,1.3958381572613485e-06,0
0.0,PairwiseTE,7,1->2,null,0.0,6.65774019161358e-05,1.208228558233753e-06,0
0.0,PairwiseTE,7,2->0,null,0.0,2.8701174718348847e-05,1.0586627734766882e-06,0
0.0,PairwiseTE,8,1->0,true_direct,0.0,0.00022089510262690004,1.04764532506739e-05,0
0.0,PairwiseTE,8,2->1,true_direct,0.0,0.00026368770345331494,4.643089968466488e-06,0
0.0,PairwiseTE,8,0->1,null,0.0,8.327686430895154e-06,1.7131302921836792e-06,0
0.0,PairwiseTE,8,0->2,null,0.0,0.0003565244543407562,3.2672123429052905e-06,0
0.0,PairwiseTE,8,1->2,null,0.0,2.4538541801374078e-05,3.818011444110221e-07,0
0.0,PairwiseTE,8,2->0,null,0.0,5.5049119771519445e-05,2.7771414822432284e-06,0
0.0,PairwiseTE,9,1->0,true_direct,0.0,5.099696083393191e-05,1.7289712022241495e-06,0
0.0,PairwiseTE,9,2->1,true_direct,0.0,0.00011945464773067499,8.231534756341645e-07,0
0.0,PairwiseTE,9,0->1,null,0.0,3.9908862731870504e-07,7.946284306237347e-07,0
0.0,PairwiseTE,9,0->2,null,0.0,4.361610819799665e-05,8.624560684999421e-07,0
0.0,PairwiseTE,9,1->2,null,0.0,6.77343936042179e-05,1.1613434178961486e-06,0
0.0,PairwiseTE,9,2->0,null,0.0,8.942218359611162e-05,2.2805570251931277e-07,0
0.0,PairwiseTE,10,1->0,true_direct,0.0,5.04464956666618e-05,1.9755345058364426e-06,0
0.0,PairwiseTE,10,2->1,true_direct,0.0,8.242646087583564e-05,6.328379561268237e-06,0
0.0,PairwiseTE,10,0->1,null,0.0,2.3303680221248073e-06,4.408539169848985e-07,0
0.0,PairwiseTE,10,0->2,null,0.0,8.402366442026527e-05,1.4370575919506155e-06,0
0.0,PairwiseTE,10,1->2,null,0.0,6.528522119974227e-06,3.358047701426036e-07,0
0.0,PairwiseTE,10,2->0,null,0.0,0.00042941071570028503,1.5412357906414413e-05,0
0.0,PairwiseTE,11,1->0,true_direct,0.0,2.3745114681063598e-06,7.74526031906772e-07,0
0.0,PairwiseTE,11,2->1,true_direct,0.0,0.0004405593827120057,2.4277587522964254e-05,0
0.0,PairwiseTE,11,0->1,null,0.0,9.025429630290698e-05,1.5588619090480696e-06,0
0.0,PairwiseTE,11,0->2,null,0.0,3.187961607626835e-05,1.0859337853875926e-06,0
0.0,PairwiseTE,11,1->2,null,0.0,4.1212603245376026e-05,1.3469662310397034e-06,0
0.0,PairwiseTE,11,2->0,null,0.0,9.889069449809253e-07,5.944869063663937e-07,0
0.0,PairwiseTE,12,1->0,true_direct,0.0,0.000415590437747911,5.316473966378938e-06,0
0.0,PairwiseTE,12,2->1,true_direct,0.0,0.00017600161874729514,2.4171622695803816e-06,0
0.0,PairwiseTE,12,0->1,null,0.0,1.8954806460563062e-05,5.315674843975674e-07,0
0.0,PairwiseTE,12,0->2,null,0.0,0.0002049161782544293,3.4359412090507444e-06,0
0.0,PairwiseTE,12,1->2,null,0.0,1.361953551201686e-06,1.5595969690903219e-06,0
0.0,PairwiseTE,12,2->0,null,0.0,0.0010679144639245378,8.13234084125142e-05,0
0.0,PairwiseTE,13,1->0,true_direct,0.0,0.00025542749473682363,5.332922463336554e-06,0
0.0,PairwiseTE,13,2->1,true_direct,0.0,7.3307942778495e-05,3.937248608404496e-06,0
0.0,PairwiseTE,13,0->1,null,0.0,4.816110180065386e-07,5.772957041151175e-07,0
0.0,PairwiseTE,13,0->2,null,0.0,5.625109592013081e-06,1.6281778405504173e-06,0
0.0,PairwiseTE,13,1->2,null,0.0,0.00010865750975502293,1.0136044667135255e-06,0
0.0,PairwiseTE,13,2->0,null,0.0,4.610805805307869e-06,3.4763082859051403e-07,0
0.0,PairwiseTE,14,1->0,true_direct,0.0,1.4086290298842432e-06,1.2646605066041105e-06,0
0.0,PairwiseTE,14,2->1,true_direct,0.0,6.679671900974161e-05,1.212893202031956e-06,0
0.0,PairwiseTE,14,0->1,null,0.0,2.795053700644023e-05,9.100995042981742e-07,0
0.0,PairwiseTE,14,0->2,null,0.0,1.1975954745944577e-05,3.3650827358456514e-06,0
0.0,PairwiseTE,14,1->2,null,0.0,7.87832438007787e-06,1.6778456671989429e-06,0
0.0,PairwiseTE,14,2->0,null,0.0,8.766565713940247e-06,1.1551434529165022e-06,0
0.0,PairwiseTE,15,1->0,true_direct,0.0,0.00016521751321726326,6.188991938226411e-07,0
0.0,PairwiseTE,15,2->1,true_direct,0.0,7.1596670855185444e-06,2.3159304349450678e-07,0
0.0,PairwiseTE,15,0->1,null,0.0,5.184754390628882e-05,3.3317155174781667e-07,0
0.0,PairwiseTE,15,0->2,null,0.0,0.0001730592078007112,1.8264347282716123e-06,0
0.0,PairwiseTE,15,1->2,null,0.0,9.314812081610527e-07,6.714977021214044e-07,0
0.0,PairwiseTE,15,2->0,null,0.0,7.184404280777439e-05,7.66739341925395e-07,0
0.0,PairwiseTE,16,1->0,true_direct,0.0,8.720622628384402e-05,1.3261981798754475e-06,0
0.0,PairwiseTE,16,2->1,true_direct,0.0,0.0001177028936244948,1.9377443727908235e-06,0
0.0,PairwiseTE,16,0->1,null,0.0,0.0006342745893268238,6.769693040380359e-05,0
0.0,PairwiseTE,16,0->2,null,0.0,2.666231825223183e-05,7.647059471212679e-07,0
0.0,PairwiseTE,16,1->2,null,0.0,2.1341821492752727e-05,8.431181256955755e-07,0
0.0,PairwiseTE,16,2->0,null,0.0,0.00017001848655538008,4.459745815547347e-06,0
0.0,PairwiseTE,17,1->0,true_direct,0.0,0.0002955584881916807,4.2727882288105394e-06,0
0.0,PairwiseTE,17,2->1,true_direct,0.0,0.00010774897554550599,6.981898902044853e-07,0
0.0,PairwiseTE,17,0->1,null,0.0,0.0007116867759638045,0.00012883563766191383,0
0.0,PairwiseTE,17,0->2,null,0.0,1.899472003515143e-06,2.8109555810654454e-07,0
0.0,PairwiseTE,17,1->2,null,0.0,0.0001534172912327309,1.8910967190792902e-06,0
0.0,PairwiseTE,17,2->0,null,0.0,0.0002127403536238583,2.644765548134715e-06,0
0.0,PairwiseTE,18,1->0,true_direct,0.0,0.00019323030862841665,7.556068004101887e-06,0
0.0,PairwiseTE,18,2->1,true_direct,0.0,0.0011695827541614448,0.0002840764849716028,0
0.0,PairwiseTE,18,0->1,null,0.0,0.0007034522096787375,4.762784012823844e-05,0
0.0,PairwiseTE,18,0->2,null,0.0,0.00011626823140966012,2.100438534151618e-06,0
0.0,PairwiseTE,18,1->2,null,0.0,0.00015424302992451895,6.951358761323003e-06,0
0.0,PairwiseTE,18,2->0,null,0.0,2.9699202944997526e-05,9.314128685977979e-07,0
0.0,PairwiseTE,19,1->0,true_direct,0.0,8.05490076760346e-05,2.874320045132703e-07,0
